# Source-derived baseline manifest, upstream 4ff68e073b588e4711cd1575620994efc5acd33d
# Not a runtime capture. The FML test compares these identities against the live registered items.
# descriptor_id	display_name	registry_key
2272	Copper 4C 18 AWG Cable 300V	eln:copper_4c_18_awg_cable_300v
2273	Copper 4C 18 AWG Cable Melted	eln:copper_4c_18_awg_cable_melted
2274	Copper 5C 18 AWG Cable 300V	eln:copper_5c_18_awg_cable_300v
2275	Copper 5C 18 AWG Cable Melted	eln:copper_5c_18_awg_cable_melted
2276	Copper 8C 18 AWG Cable 300V	eln:copper_8c_18_awg_cable_300v
2277	Copper 8C 18 AWG Cable Melted	eln:copper_8c_18_awg_cable_melted
2278	Copper 2C 20 AWG Cable 300V	eln:copper_2c_20_awg_cable_300v
2279	Copper 2C 20 AWG Cable Melted	eln:copper_2c_20_awg_cable_melted
2280	Copper 3C 20 AWG Cable 300V	eln:copper_3c_20_awg_cable_300v
2281	Copper 3C 20 AWG Cable Melted	eln:copper_3c_20_awg_cable_melted
2282	Copper 4C 20 AWG Cable 300V	eln:copper_4c_20_awg_cable_300v
2283	Copper 4C 20 AWG Cable Melted	eln:copper_4c_20_awg_cable_melted
2284	Copper 5C 20 AWG Cable 300V	eln:copper_5c_20_awg_cable_300v
2285	Copper 5C 20 AWG Cable Melted	eln:copper_5c_20_awg_cable_melted
2286	Copper 8C 20 AWG Cable 300V	eln:copper_8c_20_awg_cable_300v
2287	Copper 8C 20 AWG Cable Melted	eln:copper_8c_20_awg_cable_melted
2288	Copper 14/2 Cable 600V	eln:copper_14_2_cable_600v
2289	Copper 14/2 Cable Melted	eln:copper_14_2_cable_melted
2290	Copper 14/3 Cable 600V	eln:copper_14_3_cable_600v
2291	Copper 14/3 Cable Melted	eln:copper_14_3_cable_melted
2292	Copper 12/2 Cable 600V	eln:copper_12_2_cable_600v
2293	Copper 12/2 Cable Melted	eln:copper_12_2_cable_melted
2294	Copper 12/3 Cable 600V	eln:copper_12_3_cable_600v
2295	Copper 12/3 Cable Melted	eln:copper_12_3_cable_melted
2296	Copper 10/2 Cable 600V	eln:copper_10_2_cable_600v
2297	Copper 10/2 Cable Melted	eln:copper_10_2_cable_melted
2298	Copper 10/3 Cable 600V	eln:copper_10_3_cable_600v
2299	Copper 10/3 Cable Melted	eln:copper_10_3_cable_melted
2300	Copper 8/2 Cable 600V	eln:copper_8_2_cable_600v
2301	Copper 8/2 Cable Melted	eln:copper_8_2_cable_melted
2302	Copper 8/3 Cable 600V	eln:copper_8_3_cable_600v
2303	Copper 8/3 Cable Melted	eln:copper_8_3_cable_melted
2304	Copper 6/2 Cable 600V	eln:copper_6_2_cable_600v
2305	Copper 6/2 Cable Melted	eln:copper_6_2_cable_melted
2306	Copper 6/3 Cable 600V	eln:copper_6_3_cable_600v
2307	Copper 6/3 Cable Melted	eln:copper_6_3_cable_melted
2308	Copper 4/2 Cable 600V	eln:copper_4_2_cable_600v
2309	Copper 4/2 Cable Melted	eln:copper_4_2_cable_melted
2310	Copper 4/3 Cable 600V	eln:copper_4_3_cable_600v
2311	Copper 4/3 Cable Melted	eln:copper_4_3_cable_melted
2312	Copper Triplex 1/0 Cable 600V	eln:copper_triplex_1_0_cable_600v
2313	Copper Triplex 1/0 Cable Melted	eln:copper_triplex_1_0_cable_melted
2314	Copper Triplex 4/0 Cable 600V	eln:copper_triplex_4_0_cable_600v
2315	Copper Triplex 4/0 Cable Melted	eln:copper_triplex_4_0_cable_melted
2316	Copper Quadruplex 1/0 Cable 600V	eln:copper_quadruplex_1_0_cable_600v
2317	Copper Quadruplex 1/0 Cable Melted	eln:copper_quadruplex_1_0_cable_melted
2318	Copper Quadruplex 4/0 Cable 600V	eln:copper_quadruplex_4_0_cable_600v
2319	Copper Quadruplex 4/0 Cable Melted	eln:copper_quadruplex_4_0_cable_melted
2320	Aluminum Triplex 1/0 Cable 600V	eln:aluminum_triplex_1_0_cable_600v
2321	Aluminum Triplex 1/0 Cable Melted	eln:aluminum_triplex_1_0_cable_melted
2322	Aluminum Triplex 4/0 Cable 600V	eln:aluminum_triplex_4_0_cable_600v
2323	Aluminum Triplex 4/0 Cable Melted	eln:aluminum_triplex_4_0_cable_melted
2324	Aluminum Quadruplex 1/0 Cable 600V	eln:aluminum_quadruplex_1_0_cable_600v
2325	Aluminum Quadruplex 1/0 Cable Melted	eln:aluminum_quadruplex_1_0_cable_melted
2326	Aluminum Quadruplex 4/0 Cable 600V	eln:aluminum_quadruplex_4_0_cable_600v
2327	Aluminum Quadruplex 4/0 Cable Melted	eln:aluminum_quadruplex_4_0_cable_melted
